"Country.Name","Country.Code","Years.of.Compulsory.Education","Health.Expenditure.per.capita","Diabetes.Prevalence","GDP.per.capita.PPP","Tertiary.Education.Expenditure.per.student","Human.Capital.Index","Life.Expectancy.at.birth","Population"
"Chile","CHL",13,2002.00838398,8.46,24248.8607595513,19.6783294677734,0.674,79.732,18470439
"China","CHN",9,761.48785586,9.74,16782.2077583531,NA,0.673,76.41,1386395000
"Colombia","COL",10,829.80292211,7.44,14507.2612508546,16.299409866333,0.593,74.562,48901066
"Comoros","COM",6,115.84633521,11.88,2751.08790965604,NA,0.409,63.912,813892
"Congo, Dem. Rep.","COD",6,34.48820942,6.1,888.677279965972,NA,0.369,60.031,81398764
"Congo, Rep.","COG",10,263.28980735,7.2,5614.39897396621,NA,0.42,65.088,5110702
"Costa Rica","CRI",13,1248.54792795,8.78,16976.1874153378,38.9480285644531,0.619,80.03,4949954
"Cote d'Ivoire","CIV",10,162.6449615,2.42,3921.71333635819,NA,0.353,54.102,24437469
"Croatia","HRV",8,1705.20761848,5.59,26295.5122942987,NA,0.723,77.8268292682927,4124531
"Cuba","CUB",9,2457.66804544,8.27,NA,NA,NA,79.921,11339259
"Curacao","CUW",14,NA,11.62,27626.6408891907,NA,NA,78.0170731707317,160175
"Cyprus","CYP",10,2270.83174445,9.24,36155.4807539388,NA,0.751,80.67,1179680
"Czech Republic","CZE",9,2484.63352906,6.82,38019.5805142033,NA,0.782,79.4756097560976,10594438
"Denmark","DNK",10,5092.98030894,6.41,54356.4482739471,NA,0.774,81.0048780487805,5764980
"Djibouti","DJI",10,122.07560573,6.05,NA,NA,NA,62.643,944097
"Dominica","DMA",12,580.65767054,11.62,10383.9407632773,NA,NA,NA,71458
"Dominican Republic","DOM",15,936.82158997,8.2,16451.5400448466,NA,0.492,74.048,10513131
"Early-demographic dividend","EAR",10,431.755650520109,9.3261110787796,9818.81978749637,NA,NA,69.9744365783827,3207188541
"East Asia & Pacific","EAS",9,975.211290223284,8.57122374524152,18095.9201590457,NA,NA,75.5520189302133,2314202003
"East Asia & Pacific (excluding high income)","EAP",9,647.376717316873,8.84015642569167,14900.4347919603,NA,NA,74.6435634830561,2068155660
"East Asia & Pacific (IDA & IBRD countries)","TEA",9,647.387596001524,8.90034027096922,15057.4288269427,NA,NA,74.6778823846511,2042687863
"Ecuador","ECU",15,942.8866596,5.55,11501.0102924422,NA,0.602,76.551,16785361
"Egypt, Arab Rep.","EGY",12,516.34315446,17.31,11742.0500882009,NA,0.486,71.661,96442593
"El Salvador","SLV",15,599.54871678,8.87,7972.76858986504,12.0502996444702,0.501,73.75,6388122
"Equatorial Guinea","GNQ",6,838.74427202,7.78,24532.9520019804,NA,NA,57.939,1262001
"Eritrea","ERI",8,55.33103421,6.05,NA,NA,NA,65.536,NA
"Estonia","EST",9,1987.71815596,4.02,33447.8277198239,NA,0.747,77.6414634146342,1317384
"Eswatini","SWZ",7,663.25257978,3.94,10526.1100493887,NA,0.409,58.268,1124753
"Ethiopia","ETH",8,69.52478888,7.47,1897.24907750157,NA,0.385,65.874,106400024
"Euro area","EMU",10,4272.50756035799,6.23862589527931,45136.1558085221,NA,NA,81.950723505351,341164362
"Europe & Central Asia","ECS",10,2698.02582285126,6.80212361543584,33536.9847642977,NA,NA,77.6442191513132,915420161
"Europe & Central Asia (excluding high income)","ECA",10,1027.56704626066,7.90757895576865,20780.6138006848,15.9234595298767,NA,73.178625441011,415710935
"Europe & Central Asia (IDA & IBRD countries)","TEC",10,1097.14240626385,7.70754662674745,21589.3120491638,NA,NA,73.6080884981713,457810292
"European Union","EUU",10,3846.30004962873,6.10280543187211,42550.4151170297,NA,NA,80.9911512063337,512191098
"Faroe Islands","FRO",9,NA,NA,NA,NA,NA,82.4,48331
"Fiji","FJI",NA,313.17131214,14.49,10318.9586799074,NA,NA,70.417,877459
"Finland","FIN",10,4112.05423386,5.76,46343.5772169122,NA,0.814,81.4292682926829,5508214
"Fragile and conflict affected situations","FCS",9,162.226854115169,7.11786478235367,4531.87762540927,NA,NA,62.9063789416873,504119229
"France","FRA",10,4782.28854931,4.77,44255.9416401023,NA,0.765,82.5243902439024,66865144
"French Polynesia","PYF",NA,NA,22.63,NA,NA,NA,76.996,276103
"Gabon","GAB",10,555.6279022,7.2,17762.4086446011,NA,0.453,66.48,2064823
"Gambia, The","GMB",9,74.31114618,1.91,1612.1395585064,NA,0.397,61.424,2213894
"Georgia","GEO",9,797.17595278,7.11,10674.1758026857,9.94023036956787,0.614,73.436,3728004
"Germany","DEU",13,5463.33065234,8.31,52574.2604824888,NA,0.795,80.990243902439,82657002
"Ghana","GHA",11,189.37488586,4.97,4457.3558457773,NA,0.439,63.033,29121471
"Greece","GRC",10,2261.1565296,4.55,28579.7945258539,NA,0.681,81.3878048780488,10754679
"Greenland","GRL",10,NA,2.16,NA,NA,NA,NA,56171
"Grenada","GRD",12,745.1027805,10.71,14739.0657546687,11.6321001052856,NA,73.78,110874
"Guam","GUM",NA,NA,21.52,NA,NA,NA,79.763,164281
"Guatemala","GTM",16,462.40585501,10.18,8166.85775480185,NA,0.46,73.654,16914936
"Guinea","GIN",6,107.72365549,2.42,2435.21847519162,NA,0.374,60.617,12067539
"Guinea-Bissau","GNB",9,97.97199975,2.42,1734.71490884792,NA,NA,57.805,1828146
"Guyana","GUY",6,332.67455358,11.62,8140.41534019477,NA,0.495,66.766,775221
"Haiti","HTI",6,95.4432869,6.65,1818.60656533786,NA,0.446,63.589,10982366
"Heavily indebted poor countries (HIPC)","HPC",8.5,127.519333719888,5.9016522181252,2422.54786578297,NA,NA,62.4739205869741,759106221
"High income","HIC",10,5600.07345685101,7.93393530313076,48890.9486533842,NA,NA,80.6843995711883,1204429565
"Honduras","HND",12,400.33640974,7.21,4916.72379248824,NA,0.49,73.774,9429013
"Hong Kong SAR, China","HKG",9,NA,8.33,61706.8146996776,23.0461692810059,0.822,84.6804878048781,7391700
"Hungary","HUN",13,1963.16263,7.55,28798.6425572425,NA,0.703,76.0634146341464,9787966
